=== early-stopping control: 480 jobs, 30 at a time ===
Thu Aug 27 12:32:27 PM CEST 2026
LiH_COBYLA_weighted_T100000000_P100000_s7    evals=  111 shots=   11089788  gap_final=   701.85  gap_best=   701.86 mHa
LiH_COBYLA_weighted_T100000000_P100000_s8    evals=  111 shots=   11089788  gap_final=   689.54  gap_best=   689.54 mHa
LiH_COBYLA_uniform_T100000000_P100000_s1     evals=  114 shots=   11393844  gap_final=   688.51  gap_best=   688.51 mHa
LiH_COBYLA_weighted_T100000000_P100000_s9    evals=  112 shots=   11189696  gap_final=   689.59  gap_best=   689.59 mHa
LiH_COBYLA_uniform_T100000000_P100000_s0     evals=  113 shots=   11293898  gap_final=   694.54  gap_best=   694.54 mHa
LiH_COBYLA_uniform_T100000000_P100000_s3     evals=  120 shots=   11993520  gap_final=   678.43  gap_best=   678.44 mHa
LiH_COBYLA_uniform_T100000000_P100000_s5     evals=  120 shots=   11993520  gap_final=   693.48  gap_best=   693.49 mHa
LiH_COBYLA_uniform_T100000000_P100000_s2     evals=  133 shots=   13292818  gap_final=   679.20  gap_best=   679.21 mHa
LiH_COBYLA_uniform_T100000000_P100000_s4     evals=  142 shots=   14192332  gap_final=   534.87  gap_best=   534.86 mHa
LiH_COBYLA_weighted_T100000000_P100000_s6    evals=  154 shots=   15385832  gap_final=   592.03  gap_best=   592.04 mHa
LiH_COBYLA_uniform_T100000000_P100000_s7     evals=   99 shots=    9894654  gap_final=   696.18  gap_best=   696.18 mHa
LiH_COBYLA_uniform_T100000000_P100000_s8     evals=  107 shots=   10694222  gap_final=   691.80  gap_best=   691.80 mHa
LiH_COBYLA_neyman_T100000000_P100000_s1      evals=  109 shots=   10891508  gap_final=   666.37  gap_best=   666.37 mHa
LiH_COBYLA_neyman_T100000000_P100000_s8      evals=  110 shots=   10991536  gap_final=   693.22  gap_best=   693.22 mHa
LiH_COBYLA_weighted_T100000000_P100000_s2    evals=  109 shots=   10889972  gap_final=   682.57  gap_best=   682.57 mHa
LiH_COBYLA_neyman_T100000000_P100000_s9      evals=  109 shots=   10891509  gap_final=   700.27  gap_best=   700.27 mHa
LiH_COBYLA_weighted_T100000000_P100000_s5    evals=  112 shots=   11189696  gap_final=   706.19  gap_best=   706.19 mHa
LiH_COBYLA_neyman_T100000000_P100000_s6      evals=  115 shots=   11491004  gap_final=   675.93  gap_best=   675.92 mHa
LiH_COBYLA_uniform_T100000000_P100000_s6     evals=  120 shots=   11993520  gap_final=   699.23  gap_best=   699.23 mHa
LiH_COBYLA_neyman_T100000000_P100000_s7      evals=  130 shots=   12990368  gap_final=   638.64  gap_best=   638.64 mHa
LiH_COBYLA_weighted_T100000000_P100000_s1    evals=  120 shots=   11988960  gap_final=   678.90  gap_best=   678.90 mHa
LiH_COBYLA_neyman_T100000000_P100000_s5      evals=  123 shots=   12290541  gap_final=   679.49  gap_best=   679.50 mHa
LiH_COBYLA_uniform_T100000000_P100000_s9     evals=  125 shots=   12493250  gap_final=   703.99  gap_best=   703.99 mHa
LiH_COBYLA_neyman_T100000000_P100000_s3      evals=  132 shots=   13189878  gap_final=   660.73  gap_best=   660.73 mHa
LiH_COBYLA_neyman_T100000000_P100000_s2      evals=  129 shots=   12889977  gap_final=   624.36  gap_best=   624.35 mHa
LiH_COBYLA_neyman_T100000000_P100000_s4      evals=  146 shots=   14588793  gap_final=   603.32  gap_best=   603.32 mHa
LiH_COBYLA_weighted_T100000000_P100000_s3    evals=  144 shots=   14386752  gap_final=   623.47  gap_best=   623.48 mHa
LiH_COBYLA_exact_T100000000_P100000_s7       evals=  584 shots=          0  gap_final=   147.56  gap_best=   147.56 mHa
LiH_COBYLA_neyman_T100000000_P100000_s0      evals=  145 shots=   14488788  gap_final=   595.74  gap_best=   595.74 mHa
LiH_COBYLA_weighted_T100000000_P100000_s0    evals=  159 shots=   15885372  gap_final=   640.54  gap_best=   640.54 mHa
LiH_COBYLA_weighted_T100000000_P100000_s4    evals=  148 shots=   14786384  gap_final=   504.87  gap_best=   504.87 mHa
