rank,entry_id,molecule,basis,orbital_opt,mapping,ansatz,gap,ccsd_t_correlation,vqe_energy,casci_energy,hf_energy,baseline,beats_classical
1,H2_ccpvdz_BK_HEA_v4_tapered__sha256_8d6c79f4c00530f8,H2,cc-pvdz,hf,bravyi_kitaev,hardware_efficient,2.220446049250313e-15,-0.03458679363605954,-1.1312876450414242,-1.1312865112742863,-1.12862276992659,True,True
2,HF_ccpvdz_JW_HEA_v4_tapered__sha256_514cabd64db74888,HF,cc-pvdz,hf,jordan_wigner,hardware_efficient,1.532498572487384e-10,-0.21068007443875558,-100.019847609638,-100.0194827962336,-100.01941126917366,True,True
3,H2_ccpvdz_JW_HEA_v4_tapered__sha256_29718cbf006fd6f9,H2,cc-pvdz,hf,jordan_wigner,hardware_efficient,2.446778335496447e-10,-0.03458679363605843,-1.1312876447967486,-1.1312865112742858,-1.12862276992659,True,True
4,H2_ccpvdz_PAR_UCCSD_v4_tapered__sha256_db3b1ea10e5657fb,H2,cc-pvdz,hf,parity,UCCSD,4.919677998316274e-10,-0.034586793636058655,-1.1312865107823182,-1.1312865112742863,-1.1286227699265905,True,True
5,HF_ccpvdz_BK_HEA_v4_tapered__sha256_b4deafb715930c2c,HF,cc-pvdz,hf,bravyi_kitaev,hardware_efficient,6.84778456161439e-10,-0.21068007668296218,-100.01984760910648,-100.01948279623358,-100.01941126917359,True,True
6,HF_ccpvdz_PAR_UCCSD_v4_tapered__sha256_17592c2803a5111b,HF,cc-pvdz,hf,parity,UCCSD,6.909317562531214e-10,-0.2106800771728814,-100.01948279554259,-100.01948279623355,-100.01941126917364,True,True
7,H2_ccpvdz_JW_UCCSD_v4_tapered__sha256_54ad6aded0db503e,H2,cc-pvdz,hf,jordan_wigner,UCCSD,7.316418582092865e-10,-0.03458679363605888,-1.1312876443097846,-1.1312865112742863,-1.128622769926591,True,True
8,H2_ccpvdz_BK_UCCSD_v4_tapered__sha256_a1badacfcf2c5d96,H2,cc-pvdz,hf,bravyi_kitaev,UCCSD,8.774645454678875e-10,-0.03458679363605843,-1.1312876441639619,-1.1312865112742867,-1.12862276992659,True,True
9,HF_ccpvdz_JW_UCCSD_v4_tapered__sha256_1cf11e8f774bfdc1,HF,cc-pvdz,hf,jordan_wigner,UCCSD,1.1982308478764025e-09,-0.21068007538139,-100.01984760859303,-100.01948279623356,-100.01941126917364,True,True
10,HF_ccpvdz_BK_UCCSD_v4_tapered__sha256_cfca39bfa5226d39,HF,cc-pvdz,hf,bravyi_kitaev,UCCSD,1.6517276435479289e-09,-0.21068007482661244,-100.01984760813953,-100.01948279623363,-100.01941126917367,True,True
11,HF_ccpvdz_PAR_HEA_v4_tapered__sha256_d5b999a465259eb5,HF,cc-pvdz,hf,parity,hardware_efficient,2.9400268886092817e-09,-0.21068007439379244,-100.01948279329362,-100.01948279623362,-100.01941126917367,True,True
12,H2_ccpvdz_PAR_HEA_v4_tapered__sha256_c88ca7296b832149,H2,cc-pvdz,hf,parity,hardware_efficient,3.159575046041141e-09,-0.03458679363605954,-1.1312865081147112,-1.1312865112742863,-1.12862276992659,True,True
13,BeH2_ccpvdz_PAR_HEA_v4_tapered__sha256_ad4e2ee8ea362794,BeH2,cc-pvdz,hf,parity,hardware_efficient,3.966887618389592e-08,-0.06896339711317623,-15.768410948332045,-15.768410988000937,-15.766427614860927,True,True
14,BeH2_ccpvdz_JW_HEA_v4_tapered__sha256_eea3c9859a1f4f8b,BeH2,cc-pvdz,hf,jordan_wigner,hardware_efficient,4.5099195489228805e-08,-0.06896339711316912,-15.76848741201512,-15.768410988000923,-15.766427614860916,True,True
15,H2O_ccpvdz_JW_UCCSD_v4_tapered__sha256_07898f50b9291e81,H2O,cc-pvdz,hf,jordan_wigner,UCCSD,6.152456961672215e-07,-0.21634849260682643,-76.0276522689188,-76.0273383585892,-76.02679364497382,True,True
16,BeH2_ccpvdz_JW_UCCSD_v4_tapered__sha256_3d5d158cff2c4f0f,BeH2,cc-pvdz,hf,jordan_wigner,UCCSD,6.835930701498683e-07,-0.06896339711317268,-15.768486773521245,-15.76841098800092,-15.766427614860905,True,True
