rank,entry_id,molecule,basis,orbital_opt,mapping,ansatz,gap,depth,2q_gates,balanced_score,ccsd_t_correlation,t_gate_estimate,non_clifford_gates,baseline,beats_classical,optimizer,optimiser_family,amplifies,margin,chem_accurate,robustness,at_risk,noise_status,noise_penalty,noisy_gap,zne_residual,noise_model,early_stopped,restarts_used,restarts_requested,n_params
1,H2_ccpvdz_BK_UCCSD_v4_tapered__sha256_ffcf6a5b220b54b6,H2,cc-pvdz,hf,bravyi_kitaev,UCCSD,1.0478180545447913e-09,2,0,0.0,-0.0345867936360591,12,1,True,True,COBYLA,gradient-free,True,0.009999998952181946,True,robust,False,measured,0.0003864199354364217,0.0003864209832540322,1.7174461852675904e-10,depolarizing-current/v1,True,1,10,1
2,H2_ccpvdz_JW_UCCSD_v4_tapered__sha256_93a0f8a8604d9aed,H2,cc-pvdz,hf,jordan_wigner,UCCSD,1.0478180545447913e-09,2,0,0.021739,-0.034586793636058655,12,1,True,True,COBYLA,gradient-free,True,0.009999998952181946,True,robust,False,measured,0.0003864199354364217,0.0003864209832540322,1.7174217603610487e-10,depolarizing-current/v1,True,1,10,1
3,H2_ccpvdz_PAR_UCCSD_v4_tapered__sha256_f208cd1e8667c4bc,H2,cc-pvdz,hf,parity,UCCSD,1.0478180545447913e-09,2,0,0.043478,-0.0345867936360591,12,1,True,True,COBYLA,gradient-free,True,0.009999998952181946,True,robust,False,measured,0.0003864199354364217,0.0003864209832540322,1.7174461852675904e-10,depolarizing-current/v1,True,1,10,1
4,HF_ccpvdz_JW_UCCSD_v4_tapered__sha256_65500d662073f9e4,HF,cc-pvdz,hf,jordan_wigner,UCCSD,1.826691686801496e-09,2,0,0.076087,-0.2106800765422605,12,1,True,True,COBYLA,gradient-free,True,0.009999998173308313,True,robust,False,measured,0.00047374669873079256,0.00047374852542247936,2.106190777340089e-10,depolarizing-current/v1,True,1,10,1
5,HF_ccpvdz_BK_UCCSD_v4_tapered__sha256_9175dd737dc93bed,HF,cc-pvdz,hf,bravyi_kitaev,UCCSD,5.848576734024391e-09,2,0,0.086957,-0.2106800767365371,12,1,True,True,COBYLA,gradient-free,True,0.009999994151423266,True,robust,False,measured,0.000473746696044941,0.00047375254462167504,2.105906560245785e-10,depolarizing-current/v1,True,1,10,1
6,HF_ccpvdz_PAR_UCCSD_v4_tapered__sha256_b7153d9bdf4c7b85,HF,cc-pvdz,hf,parity,UCCSD,5.848576734024391e-09,2,0,0.119565,-0.2106800767365371,12,1,True,True,COBYLA,gradient-free,True,0.009999994151423266,True,robust,False,measured,0.000473746696044941,0.00047375254462167504,2.105906560245785e-10,depolarizing-current/v1,True,1,10,1
7,H2_ccpvdz_BK_HEA_v4_tapered__sha256_aa7360a68d23f35c,H2,cc-pvdz,hf,bravyi_kitaev,hardware_efficient,8.591151123837903e-09,4,0,0.141304,-0.0345867936360591,36,3,True,True,COBYLA,gradient-free,True,0.009999991408848876,True,robust,False,measured,0.0011584871231036242,0.001158495714254526,4.6277739418343344e-09,depolarizing-current/v1,True,1,10,3
8,HF_ccpvdz_JW_HEA_v4_tapered__sha256_94244108ad3c4f44,HF,cc-pvdz,hf,jordan_wigner,hardware_efficient,4.762256367030204e-09,4,0,0.152174,-0.2106800765422605,36,3,True,True,COBYLA,gradient-free,True,0.009999995237743633,True,robust,False,measured,0.001420292807495116,0.001420297569751483,5.673726377608546e-09,depolarizing-current/v1,True,1,10,3
9,H2_ccpvdz_PAR_HEA_v4_tapered__sha256_ffbef22125a8b6c9,H2,cc-pvdz,hf,parity,hardware_efficient,8.591151123837903e-09,4,0,0.173913,-0.0345867936360591,36,3,True,True,COBYLA,gradient-free,True,0.009999991408848876,True,robust,False,measured,0.0011584871231036242,0.001158495714254526,4.6277739418343344e-09,depolarizing-current/v1,True,1,10,3
10,H2_ccpvdz_JW_HEA_v4_tapered__sha256_67c3022f966367ed,H2,cc-pvdz,hf,jordan_wigner,hardware_efficient,1.36132405348377e-08,4,0,0.195652,-0.034586793636058655,36,3,True,True,COBYLA,gradient-free,True,0.009999986386759465,True,robust,False,measured,0.0011584871130656538,0.0011585007263061886,4.627773497745125e-09,depolarizing-current/v1,True,1,10,3
10,HF_ccpvdz_BK_HEA_v4_tapered__sha256_0ac7d9bfa8215995,HF,cc-pvdz,hf,bravyi_kitaev,hardware_efficient,1.272304928079393e-08,4,0,0.195652,-0.2106800767365371,36,3,True,True,COBYLA,gradient-free,True,0.00999998727695072,True,robust,False,measured,0.0014202927916215913,0.001420305514685083,5.6736837450444e-09,depolarizing-current/v1,True,1,10,3
12,HF_ccpvdz_PAR_HEA_v4_tapered__sha256_5b2d8909e49305a9,HF,cc-pvdz,hf,parity,hardware_efficient,1.272304928079393e-08,4,0,0.228261,-0.2106800767365371,36,3,True,True,COBYLA,gradient-free,True,0.00999998727695072,True,robust,False,measured,0.0014202927916215913,0.001420305514685083,5.6736837450444e-09,depolarizing-current/v1,True,1,10,3
13,BeH2_ccpvdz_JW_HEA_v4_tapered__sha256_3a0217702318b7e5,BeH2,cc-pvdz,hf,jordan_wigner,hardware_efficient,5.4250097747399195e-08,8,4,0.26087,-0.06896339711317268,108,9,True,True,COBYLA,gradient-free,True,0.009999945749902253,True,robust,False,measured,0.03438186554974898,0.03438191979985383,3.7755771685965556e-05,depolarizing-current/v1,True,1,10,9
14,BeH2_ccpvdz_PAR_HEA_v4_tapered__sha256_c3c5a76f6786a95b,BeH2,cc-pvdz,hf,parity,hardware_efficient,5.425012261639495e-08,8,4,0.282609,-0.06896339711317268,108,9,True,True,COBYLA,gradient-free,True,0.009999945749877384,True,robust,False,measured,0.034381865553173796,0.03438191980330885,3.7755771685965556e-05,depolarizing-current/v1,True,1,10,9
15,LiH_ccpvdz_JW_HEA_v4_tapered__sha256_f044f66bd4bc8376,LiH,cc-pvdz,hf,jordan_wigner,hardware_efficient,9.583123968592844e-05,10,8,0.402174,-0.03110471625531286,180,15,True,True,COBYLA,gradient-free,True,0.009904168760314072,True,robust,False,measured,0.0871863673267468,0.08728219856642826,0.00018290765653183882,depolarizing-current/v1,True,1,10,15
16,H2O_ccpvdz_JW_HEA_v4_tapered__sha256_6d66b3fceee03e10,H2O,cc-pvdz,hf,jordan_wigner,hardware_efficient,0.0004032122583481623,9,6,0.423913,-0.21634849260681221,144,12,True,True,COBYLA,gradient-free,True,0.009596787741651838,True,robust,False,measured,0.05369874723945145,0.05410195949781382,5.4425158779736194e-05,depolarizing-current/v1,True,1,10,12
16,H2O_ccpvdz_PAR_HEA_v4_tapered__sha256_b50cee1c91dc0410,H2O,cc-pvdz,hf,parity,hardware_efficient,0.00039920839618901027,9,6,0.423913,-0.21634849260681221,144,12,True,True,COBYLA,gradient-free,True,0.00960079160381099,True,robust,False,measured,0.0913566348328061,0.0917558432289951,0.00033326179185166893,depolarizing-current/v1,True,1,10,12
18,BeH2_ccpvdz_PAR_UCCSD_v4_tapered__sha256_fee27caf9110d47f,BeH2,cc-pvdz,hf,parity,UCCSD,2.40350748370588e-06,22,8,0.434783,-0.06896339711317268,264,22,True,True,COBYLA,gradient-free,True,0.009997596492516294,True,robust,False,measured,0.466426035441632,0.46642843894913,0.07140064575873772,depolarizing-current/v1,True,1,10,12
18,H2O_ccpvdz_JW_UCCSD_v4_tapered__sha256_1a15dd08a75640a5,H2O,cc-pvdz,hf,jordan_wigner,UCCSD,1.4370171186328662e-07,34,12,0.434783,-0.21634849260681221,408,34,True,True,COBYLA,gradient-free,True,0.009999856298288137,True,robust,False,measured,0.8933642438577323,0.893364387559501,0.2531690448661834,depolarizing-current/v1,True,1,10,18
